,trial,function,noise,init_gamma,gamma,scorer,value,mi
123,1,line,0.001,0.5,0.6628556827950548,ctka,0.9999889547647424,5.216984272414182
124,1,line,0.001,0.5,0.5492705709937792,ctka,0.9999888419358852,5.216984272414182
125,1,line,0.001,0.5,0.4551490889957608,ctka,0.9999887285438644,5.216984272414182
126,1,line,0.001,0.5,0.3771560031677311,ctka,0.9999886199798959,5.216984272414182
127,1,line,0.001,0.5,0.3125275962636988,ctka,0.9999885194330165,5.216984272414182
128,1,line,0.001,0.5,0.25897373396156065,ctka,0.9999884285168146,5.216984272414182
129,1,line,0.001,0.5,0.2145967130064389,ctka,0.9999883477689696,5.216984272414182
130,1,line,0.001,0.5,0.17782401531115663,ctka,0.9999882770300427,5.216984272414182
131,1,line,0.001,0.5,0.14735258512759064,ctka,0.9999882157192119,5.216984272414182
132,1,line,0.001,0.5,0.12210265472743262,ctka,0.999988163027283,5.216984272414182
133,1,line,0.001,0.5,0.1011794823862579,ctka,0.9999881180469655,5.216984272414182
134,1,line,0.001,0.5,0.08384164684055041,ctka,0.9999880798572095,5.216984272414182
135,1,line,0.001,0.5,0.06947477471865694,ctka,0.9999880475746519,5.216984272414182
136,1,line,0.001,0.5,0.05756976996632241,ctka,0.9999880203824996,5.216984272414182
137,1,line,0.001,0.5,0.04770477381749972,ctka,0.9999879975444695,5.216984272414182
138,1,line,0.001,0.5,0.039530216054538506,ctka,0.9999879784088324,5.216984272414182
139,1,line,0.001,0.5,0.03275642784297758,ctka,0.9999879624065111,5.216984272414182
140,1,line,0.001,0.5,0.027143377196619328,ctka,0.9999879490458319,5.216984272414182
141,1,line,0.001,0.5,0.022492163344847247,ctka,0.9999879379053529,5.216984272414182
142,1,line,0.001,0.5,0.01863796860157471,ctka,0.9999879286261744,5.216984272414182
143,1,line,0.001,0.5,0.01544421798238741,ctka,0.9999879209042488,5.216984272414182
144,1,line,0.001,0.5,0.012797739613497689,ctka,0.9999879144829267,5.216984272414182
145,1,line,0.001,0.5,0.010604754439600964,ctka,0.9999879091464138,5.216984272414182
146,1,line,0.001,0.5,0.008787553124273964,ctka,0.9999879047136628,5.216984272414182
147,1,line,0.001,0.5,0.007281742387506222,ctka,0.9999879010331522,5.216984272414182
148,1,line,0.001,0.5,0.006033963203196644,ctka,0.9999878979782876,5.216984272414182
149,1,line,0.001,0.5,0.005,ctka,0.9999878954434167,5.216984272414182
150,1,line,0.0011352775264921833,0.5,49.99999999999999,hsic,0.11196163635869562,5.180124931764317
151,1,line,0.0011352775264921833,0.5,41.432138642734216,hsic,0.1168660833507315,5.180124931764317
152,1,line,0.0011352775264921833,0.5,34.33244225021501,hsic,0.12121314133614745,5.180124931764317
153,1,line,0.0011352775264921833,0.5,28.44933014509148,hsic,0.12481046063843139,5.180124931764317
154,1,line,0.0011352775264921833,0.5,23.57433181728697,hsic,0.1274459805537831,5.180124931764317
155,1,line,0.0011352775264921833,0.5,19.534699685273083,hsic,0.12889605511462726,5.180124931764317
156,1,line,0.0011352775264921833,0.5,16.187287714088217,hsic,0.1289397513375824,5.180124931764317
157,1,line,0.0011352775264921833,0.5,13.41347897639863,hsic,0.12738069713255654,5.180124931764317
158,1,line,0.0011352775264921833,0.5,11.114982412630976,hsic,0.12407591741664022,5.180124931764317
159,1,line,0.0011352775264921833,0.5,9.210349846633582,hsic,0.11896763103062773,5.180124931764317
160,1,line,0.0011352775264921833,0.5,7.632089835876167,hsic,0.11211056329631426,5.180124931764317
161,1,line,0.0011352775264921833,0.5,6.324276084276483,hsic,0.10368637991365617,5.180124931764317
162,1,line,0.0011352775264921833,0.5,5.240565670773429,hsic,0.09399946540951157,5.180124931764317
163,1,line,0.0011352775264921833,0.5,4.342556868756765,hsic,0.0834530666306593,5.180124931764317
164,1,line,0.0011352775264921833,0.5,3.5984283650057605,hsic,0.07250932654905314,5.180124931764317
165,1,line,0.0011352775264921833,0.5,2.981811658297323,hsic,0.06163972788492595,5.180124931764317
166,1,line,0.0011352775264921833,0.5,2.470856680661918,hsic,0.051274327790862655,5.180124931764317
167,1,line,0.0011352775264921833,0.5,2.047457531190213,hsic,0.041759014491271375,5.180124931764317
168,1,line,0.0011352775264921833,0.5,1.696610885947665,hsic,0.03332877643966027,5.180124931764317
169,1,line,0.0011352775264921833,0.5,1.4058843489871153,hsic,0.02610094456847647,5.180124931764317
170,1,line,0.0011352775264921833,0.5,1.1649759052576867,hsic,0.02008685017326408,5.180124931764317
171,1,line,0.0011352775264921833,0.5,0.9653488644416254,hsic,0.015215889847727423,5.180124931764317
172,1,line,0.0011352775264921833,0.5,0.7999293598030295,hsic,0.011364358761958687,5.180124931764317
173,1,line,0.0011352775264921833,0.5,0.6628556827950548,hsic,0.008382539213817116,5.180124931764317
174,1,line,0.0011352775264921833,0.5,0.5492705709937792,hsic,0.006116111806186974,5.180124931764317
175,1,line,0.0011352775264921833,0.5,0.4551490889957608,hsic,0.004420587062487925,5.180124931764317
176,1,line,0.0011352775264921833,0.5,0.3771560031677311,hsic,0.003169316007228812,5.180124931764317
177,1,line,0.0011352775264921833,0.5,0.3125275962636988,hsic,0.002256555933656654,5.180124931764317
178,1,line,0.0011352775264921833,0.5,0.25897373396156065,hsic,0.0015972528149941854,5.180124931764317
179,1,line,0.0011352775264921833,0.5,0.2145967130064389,hsic,0.0011249715046484502,5.180124931764317
180,1,line,0.0011352775264921833,0.5,0.17782401531115663,hsic,0.0007890215506350238,5.180124931764317
181,1,line,0.0011352775264921833,0.5,0.14735258512759064,hsic,0.0005514499645227988,5.180124931764317
