,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
114,tstudent,2.0,7.0,1.8420157493201932,silverman,0.01835320248565781,0.014660174128707465,50.0,hsic,5.0
115,tstudent,2.0,8.0,1.8420157493201932,silverman,0.018105438173594026,0.012501023963941307,50.0,hsic,5.0
116,tstudent,2.0,9.0,1.8420157493201932,silverman,0.017859941210091157,0.01086341678384039,50.0,hsic,5.0
117,tstudent,2.0,1.0,1.8420157493201932,silverman,0.6334608863476788,0.3088523116503308,50.0,tka,5.0
118,tstudent,2.0,2.0,1.8420157493201932,silverman,0.5571259722035247,0.1433298452430475,50.0,tka,5.0
119,tstudent,2.0,3.0,1.8420157493201932,silverman,0.5407464430711166,0.08626889025201201,50.0,tka,5.0
120,tstudent,2.0,4.0,1.8420157493201932,silverman,0.5274891509988416,0.059448357918778165,50.0,tka,5.0
121,tstudent,2.0,5.0,1.8420157493201932,silverman,0.5652447272049839,0.0446331521669555,50.0,tka,5.0
122,tstudent,2.0,6.0,1.8420157493201932,silverman,0.5253313542707988,0.02030156455852465,50.0,tka,5.0
123,tstudent,2.0,7.0,1.8420157493201932,silverman,0.5101631472013229,0.014660174128707465,50.0,tka,5.0
124,tstudent,2.0,8.0,1.8420157493201932,silverman,0.5021475275698704,0.012501023963941307,50.0,tka,5.0
125,tstudent,2.0,9.0,1.8420157493201932,silverman,0.49370834087387444,0.01086341678384039,50.0,tka,5.0
126,tstudent,2.0,1.0,1.8420157493201932,silverman,0.5517421636907331,0.3088523116503308,50.0,ctka,5.0
127,tstudent,2.0,2.0,1.8420157493201932,silverman,0.36908127046993966,0.1433298452430475,50.0,ctka,5.0
128,tstudent,2.0,3.0,1.8420157493201932,silverman,0.34224653523291537,0.08626889025201201,50.0,ctka,5.0
129,tstudent,2.0,4.0,1.8420157493201932,silverman,0.330930576260607,0.059448357918778165,50.0,ctka,5.0
130,tstudent,2.0,5.0,1.8420157493201932,silverman,0.35037730737452405,0.0446331521669555,50.0,ctka,5.0
131,tstudent,2.0,6.0,1.8420157493201932,silverman,0.3151063966430646,0.02030156455852465,50.0,ctka,5.0
132,tstudent,2.0,7.0,1.8420157493201932,silverman,0.3043019363798078,0.014660174128707465,50.0,ctka,5.0
133,tstudent,2.0,8.0,1.8420157493201932,silverman,0.2993844358967096,0.012501023963941307,50.0,ctka,5.0
134,tstudent,2.0,9.0,1.8420157493201932,silverman,0.2949541874117686,0.01086341678384039,50.0,ctka,5.0
