,dataset,gamma_init,gamma_method,hsic_value,scale,scorer
1995,sine,7.0698498728169515e-06,median_p0.4,1.629064092267183e-06,2222.996482526191,hsic
1996,sine,3.335562956934012e-06,median_p0.4,7.684617764501122e-07,3237.45754281764,hsic
1997,sine,1.573393724600581e-06,median_p0.4,3.624420849794446e-07,4714.8663634573895,hsic
1998,sine,7.420674653514298e-07,median_p0.4,1.7092622351292019e-07,6866.488450042998,hsic
1999,sine,3.4995046947476227e-07,median_p0.4,8.060224137838776e-08,10000.0,hsic
2000,sine,6.247760315443301,median_p0.4,0.606062691016907,0.0001,tka
2001,sine,6.247519438904645,median_p0.4,0.6060671981683793,0.00014563484775012445,tka
2002,sine,6.2471686636396955,median_p0.4,0.6060737649100072,0.00021209508879201905,tka
2003,sine,6.2466578654547495,median_p0.4,0.606083334223693,0.00030888435964774815,tka
2004,sine,6.245914077343625,median_p0.4,0.6060972828825242,0.0004498432668969444,tka
2005,sine,6.2448311002490655,median_p0.4,0.6061176232879639,0.0006551285568595509,tka
2006,sine,6.24325441193706,median_p0.4,0.6061473017521144,0.0009540954763499944,tka
2007,sine,6.240959272137622,median_p0.4,0.606190642079781,0.0013894954943731374,tka
2008,sine,6.237619011841678,median_p0.4,0.6062540109870986,0.0020235896477251557,tka
2009,sine,6.2327592232966,median_p0.4,0.6063468281613499,0.0029470517025518097,tka
2010,sine,6.225691829853393,median_p0.4,0.6064831235940799,0.004291934260128779,tka
2011,sine,6.215420723387217,median_p0.4,0.6066839869037932,0.0062505519252739694,tka
2012,sine,6.200507816427993,median_p0.4,0.6069815132754374,0.009102981779915217,tka
2013,sine,6.178885242027704,median_p0.4,0.6074253358529176,0.013257113655901081,tka
2014,sine,6.147596976602791,median_p0.4,0.6080937490800558,0.019306977288832496,tka
2015,sine,6.102453712859764,median_p0.4,0.6091131416914403,0.02811768697974228,tka
2016,sine,6.037593564603694,median_p0.4,0.6106925724828792,0.040949150623804234,tka
2017,sine,5.944968455421894,median_p0.4,0.6131855403737083,0.05963623316594643,tka
2018,sine,5.813839999392027,median_p0.4,0.6171980340280704,0.08685113737513521,tka
2019,sine,5.630495768469756,median_p0.4,0.6237648672430955,0.12648552168552957,tka
2020,sine,5.378610755713107,median_p0.4,0.6345888578760062,0.18420699693267145,tka
2021,sine,5.04095741860316,median_p0.4,0.6522025951610975,0.2682695795279725,tka
2022,sine,4.6033411030203455,median_p0.4,0.6795528165439214,0.3906939937054613,tka
2023,sine,4.061252669973916,median_p0.4,0.7181456033113885,0.5689866029018293,tka
2024,sine,3.4281141470235403,median_p0.4,0.7650279041759646,0.8286427728546842,tka
2025,sine,2.7410521840622506,median_p0.4,0.8120556874558614,1.2067926406393288,tka
2026,sine,2.0579554960662874,median_p0.4,0.8494412311872367,1.7575106248547894,tka
2027,sine,1.4424491411684772,median_p0.4,0.8691523953333005,2.559547922699533,tka
2028,sine,0.9425435816930202,median_p0.4,0.8652433914628831,3.727593720314938,tka
2029,sine,0.5760870167241319,median_p0.4,0.8353639680383544,5.428675439323859,tka
2030,sine,0.33174268457887696,median_p0.4,0.7860177396265023,7.9060432109076855,tka
2031,sine,0.1817038898207522,median_p0.4,0.7328249336154015,11.513953993264458,tka
2032,sine,0.09561665063273575,median_p0.4,0.6894314176495002,16.768329368110066,tka
2033,sine,0.04879125266031529,median_p0.4,0.6597054913756095,24.420530945486497,tka
2034,sine,0.024333343283102656,median_p0.4,0.6411380414371596,35.564803062231285,tka
2035,sine,0.011935055778905497,median_p0.4,0.6299708954886402,51.79474679231202,tka
2036,sine,0.005784574224013294,median_p0.4,0.6232922983533173,75.43120063354607,tka
2037,sine,0.002780109231549345,median_p0.4,0.6192510230910272,109.85411419875572,tka
2038,sine,0.001328285454880499,median_p0.4,0.6167573500809144,159.98587196060572,tka
2039,sine,0.000632030818070341,median_p0.4,0.6151853286336318,232.99518105153672,tka
2040,sine,0.00029988126894511856,median_p0.4,0.6141744222437278,339.3221771895323,tka
2041,sine,0.00014200588232783328,median_p0.4,0.613513343493343,494.1713361323828,tka
2042,sine,6.7154361618115e-05,median_p0.4,0.6130752397027889,719.6856730011514,tka
2043,sine,3.172753657860845e-05,median_p0.4,0.6127819534892539,1048.1131341546852,tka
2044,sine,1.4980257284815173e-05,median_p0.4,0.6125841468383078,1526.4179671752302,tka
2045,sine,7.0698498728169515e-06,median_p0.4,0.612450017896403,2222.996482526191,tka
2046,sine,3.335562956934012e-06,median_p0.4,0.612358719980744,3237.45754281764,tka
2047,sine,1.573393724600581e-06,median_p0.4,0.6122964091091252,4714.8663634573895,tka
2048,sine,7.420674653514298e-07,median_p0.4,0.6122538022513502,6866.488450042998,tka
2049,sine,3.4995046947476227e-07,median_p0.4,0.6122246307020552,10000.0,tka
2050,sine,6.247760315443301,median_p0.4,0.47406663072403543,0.0001,ctka
2051,sine,6.247519438904645,median_p0.4,0.47407028591406736,0.00014563484775012445,ctka
2052,sine,6.2471686636396955,median_p0.4,0.47407561112368196,0.00021209508879201905,ctka
2053,sine,6.2466578654547495,median_p0.4,0.47408337066875134,0.00030888435964774815,ctka
2054,sine,6.245914077343625,median_p0.4,0.47409468013410455,0.0004498432668969444,ctka
2055,sine,6.2448311002490655,median_p0.4,0.47411116945254306,0.0006551285568595509,ctka
2056,sine,6.24325441193706,median_p0.4,0.47413522349304427,0.0009540954763499944,ctka
2057,sine,6.240959272137622,median_p0.4,0.4741703390128115,0.0013894954943731374,ctka
2058,sine,6.237619011841678,median_p0.4,0.4742216583902715,0.0020235896477251557,ctka
2059,sine,6.2327592232966,median_p0.4,0.4742967762614039,0.0029470517025518097,ctka
2060,sine,6.225691829853393,median_p0.4,0.47440697611837357,0.004291934260128779,ctka
2061,sine,6.215420723387217,median_p0.4,0.4745691612894566,0.0062505519252739694,ctka
2062,sine,6.200507816427993,median_p0.4,0.47480893944401553,0.009102981779915217,ctka
2063,sine,6.178885242027704,median_p0.4,0.47516568123958636,0.013257113655901081,ctka
2064,sine,6.147596976602791,median_p0.4,0.47570105424558895,0.019306977288832496,ctka
2065,sine,6.102453712859764,median_p0.4,0.47651381564084533,0.02811768697974228,ctka
2066,sine,6.037593564603694,median_p0.4,0.4777660182551878,0.040949150623804234,ctka
2067,sine,5.944968455421894,median_p0.4,0.4797299368828108,0.05963623316594643,ctka
2068,sine,5.813839999392027,median_p0.4,0.48287137376232697,0.08685113737513521,ctka
2069,sine,5.630495768469756,median_p0.4,0.48799125180396963,0.12648552168552957,ctka
2070,sine,5.378610755713107,median_p0.4,0.4964397363660037,0.18420699693267145,ctka
2071,sine,5.04095741860316,median_p0.4,0.5103463124835267,0.2682695795279725,ctka
2072,sine,4.6033411030203455,median_p0.4,0.5325570675799901,0.3906939937054613,ctka
2073,sine,4.061252669973916,median_p0.4,0.5654651995645726,0.5689866029018293,ctka
2074,sine,3.4281141470235403,median_p0.4,0.6080324176959442,0.8286427728546842,ctka
2075,sine,2.7410521840622506,median_p0.4,0.6536993273881002,1.2067926406393288,ctka
2076,sine,2.0579554960662874,median_p0.4,0.6946641057869577,1.7575106248547894,ctka
2077,sine,1.4424491411684772,median_p0.4,0.726646943076181,2.559547922699533,ctka
2078,sine,0.9425435816930202,median_p0.4,0.7455612717032243,3.727593720314938,ctka
2079,sine,0.5760870167241319,median_p0.4,0.7471284482472509,5.428675439323859,ctka
2080,sine,0.33174268457887696,median_p0.4,0.7338734129132933,7.9060432109076855,ctka
2081,sine,0.1817038898207522,median_p0.4,0.7148473633903427,11.513953993264458,ctka
2082,sine,0.09561665063273575,median_p0.4,0.6974689828147669,16.768329368110066,ctka
2083,sine,0.04879125266031529,median_p0.4,0.6843590911133337,24.420530945486497,ctka
2084,sine,0.024333343283102656,median_p0.4,0.6752883670252335,35.564803062231285,ctka
2085,sine,0.011935055778905497,median_p0.4,0.6692271343846189,51.79474679231202,ctka
2086,sine,0.005784574224013294,median_p0.4,0.6652154212154459,75.43120063354607,ctka
2087,sine,0.002780109231549345,median_p0.4,0.6625555639986693,109.85411419875572,ctka
2088,sine,0.001328285454880499,median_p0.4,0.6607816664085727,159.98587196060572,ctka
2089,sine,0.000632030818070341,median_p0.4,0.6595908816869511,232.99518105153672,ctka
2090,sine,0.00029988126894511856,median_p0.4,0.658786889049397,339.3221771895323,ctka
2091,sine,0.00014200588232783328,median_p0.4,0.6582415265721806,494.1713361323828,ctka
2092,sine,6.7154361618115e-05,median_p0.4,0.6578702951610317,719.6856730011514,ctka
2093,sine,3.172753657860845e-05,median_p0.4,0.657616944395284,1048.1131341546852,ctka
2094,sine,1.4980257284815173e-05,median_p0.4,0.6574437230883023,1526.4179671752302,ctka
2095,sine,7.0698498728169515e-06,median_p0.4,0.6573251333600297,2222.996482526191,ctka
2096,sine,3.335562956934012e-06,median_p0.4,0.657243870948201,3237.45754281764,ctka
2097,sine,1.573393724600581e-06,median_p0.4,0.6571881512768963,4714.8663634573895,ctka
2098,sine,7.420674653514298e-07,median_p0.4,0.6571499288031171,6866.488450042998,ctka
2099,sine,3.4995046947476227e-07,median_p0.4,0.657123701037511,10000.0,ctka
2100,circ,6.626154365876783,median_p0.4,3.763843905795179e-11,0.0001,hsic
2101,circ,6.625530778440726,median_p0.4,7.981897587361747e-11,0.00014563484775012445,hsic
2102,circ,6.624622775268273,median_p0.4,1.692611162296595e-10,0.00021209508879201905,hsic
2103,circ,6.623300740058494,median_p0.4,3.589024041884421e-10,0.00030888435964774815,hsic
2104,circ,6.621376103830264,median_p0.4,7.609463895548443e-10,0.0004498432668969444,hsic
2105,circ,6.618574662950645,median_p0.4,1.6131763987159683e-09,0.0006551285568595509,hsic
2106,circ,6.614497967739077,median_p0.4,3.4194735011710498e-09,0.0009540954763499944,hsic
2107,circ,6.608567612569939,median_p0.4,7.247867759760251e-09,0.0013894954943731374,hsic
2108,circ,6.59994520387426,median_p0.4,1.5364632892791362e-08,0.0020235896477251557,hsic
2109,circ,6.587418123735366,median_p0.4,3.2593532374820335e-08,0.0029470517025518097,hsic
2110,circ,6.569238025828405,median_p0.4,6.928000397269199e-08,0.004291934260128779,hsic
2111,circ,6.542895784825809,median_p0.4,1.479907286882384e-07,0.0062505519252739694,hsic
2112,circ,6.504814795596218,median_p0.4,3.196949395507792e-07,0.009102981779915217,hsic
2113,circ,6.449947485289003,median_p0.4,7.071159417285957e-07,0.013257113655901081,hsic
2114,circ,6.3712748674575534,median_p0.4,1.6365302442613803e-06,0.019306977288832496,hsic
2115,circ,6.2592496728960905,median_p0.4,4.085932575530582e-06,0.02811768697974228,hsic
2116,circ,6.101312877338419,median_p0.4,1.130900325560649e-05,0.040949150623804234,hsic
2117,circ,5.881780838656417,median_p0.4,3.473090559280038e-05,0.05963623316594643,hsic
2118,circ,5.582660856813699,median_p0.4,0.00011397747707077442,0.08685113737513521,hsic
2119,circ,5.186241105221597,median_p0.4,0.0003748737473608526,0.12648552168552957,hsic
2120,circ,4.680338476651083,median_p0.4,0.0011484196144034586,0.18420699693267145,hsic
2121,circ,4.066271886307033,median_p0.4,0.0030437677151429966,0.2682695795279725,hsic
2122,circ,3.3673157408287424,median_p0.4,0.00653468374093346,0.3906939937054613,hsic
2123,circ,2.6321417017944544,median_p0.4,0.010904038102214056,0.5689866029018293,hsic
2124,circ,1.9269065431382468,median_p0.4,0.014062216848416595,0.8286427728546842,hsic
2125,circ,1.315488522040647,median_p0.4,0.014186606790899158,1.2067926406393288,hsic
2126,circ,0.8378381711053611,median_p0.4,0.011160100975197177,1.7575106248547894,hsic
2127,circ,0.5002989657984517,median_p0.4,0.006732441175216836,2.559547922699533,hsic
2128,circ,0.2824200294508132,median_p0.4,0.0031318655720873646,3.727593720314938,hsic
2129,circ,0.15221206211544716,median_p0.4,0.0011747297918938218,5.428675439323859,hsic
2130,circ,0.07910012802666914,median_p0.4,0.00038072484031691304,7.9060432109076855,hsic
2131,circ,0.03998543328880013,median_p0.4,0.000114980502888978,11.513953993264458,hsic
2132,circ,0.019804938526436264,median_p0.4,3.482806951276371e-05,16.768329368110066,hsic
2133,circ,0.009666076084190916,median_p0.4,1.1278759907395201e-05,24.420530945486497,hsic
2134,circ,0.004668491678402534,median_p0.4,4.054518180737153e-06,35.564803062231285,hsic
2135,circ,0.002238204990825773,median_p0.4,1.6169737257414393e-06,51.79474679231202,hsic
2136,circ,0.0010675431325466952,median_p0.4,6.963555689297888e-07,75.43120063354607,hsic
2137,circ,0.0005073597696046776,median_p0.4,3.14088401780361e-07,109.85411419875572,hsic
2138,circ,0.00024053044908949197,median_p0.4,1.451611989770832e-07,159.98587196060572,hsic
2139,circ,0.00011383627189387196,median_p0.4,6.788170731211722e-08,232.99518105153672,hsic
2140,circ,5.381195724240119e-05,median_p0.4,3.191243485313884e-08,339.3221771895323,hsic
2141,circ,2.5416987304136912e-05,median_p0.4,1.503618744046063e-08,494.1713361323828,hsic
2142,circ,1.1998490979390026e-05,median_p0.4,7.090581246149294e-09,719.6856730011514,hsic
